time,id,x,y,vx,vy,mass,radius,alive
0,1,50.6,51.2,30,60,1,6,1
0,2,100.2,59.8,10,-10,1.2,7,1
0,3,199.6,249.2,-20,-40,1.5,8,1
0,4,299,80.4,-50,20,0.9,5.5,1
0,5,120.1,119.4,5,-30,1,6,1
0.02,1,51.2,52.4,30,60,1,6,1
0.02,2,100.4,59.6,10,-10,1.2,7,1
0.02,3,199.2,248.4,-20,-40,1.5,8,1
0.02,4,298,80.8,-50,20,0.9,5.5,1
0.02,5,120.2,118.8,5,-30,1,6,1
0.04,1,51.8,53.6,30,60,1,6,1
0.04,2,100.6,59.4,10,-10,1.2,7,1
0.04,3,198.8,247.6,-20,-40,1.5,8,1
0.04,4,297,81.2,-50,20,0.9,5.5,1
0.04,5,120.3,118.2,5,-30,1,6,1
0.06,1,52.4,54.8,30,60,1,6,1
0.06,2,100.8,59.2,10,-10,1.2,7,1
0.06,3,198.4,246.8,-20,-40,1.5,8,1
0.06,4,296,81.6,-50,20,0.9,5.5,1
0.06,5,120.4,117.6,5,-30,1,6,1
0.08,1,53,56,30,60,1,6,1
0.08,2,101,59,10,-10,1.2,7,1
0.08,3,198,246,-20,-40,1.5,8,1
0.08,4,295,82,-50,20,0.9,5.5,1
0.08,5,120.5,117,5,-30,1,6,1
0.1,1,53.6,57.2,30,60,1,6,1
0.1,2,101.2,58.8,10,-10,1.2,7,1
0.1,3,197.6,245.2,-20,-40,1.5,8,1
0.1,4,294,82.4,-50,20,0.9,5.5,1
0.1,5,120.6,116.4,5,-30,1,6,1
0.12,1,54.2,58.4,30,60,1,6,1
0.12,2,101.4,58.6,10,-10,1.2,7,1
0.12,3,197.2,244.4,-20,-40,1.5,8,1
0.12,4,293,82.8,-50,20,0.9,5.5,1
0.12,5,120.7,115.8,5,-30,1,6,1
0.14,1,54.8,59.6,30,60,1,6,1
0.14,2,101.6,58.4,10,-10,1.2,7,1
0.14,3,196.8,243.6,-20,-40,1.5,8,1
0.14,4,292,83.2,-50,20,0.9,5.5,1
0.14,5,120.8,115.2,5,-30,1,6,1
0.16,1,55.4,60.8,30,60,1,6,1
0.16,2,101.8,58.2,10,-10,1.2,7,1
0.16,3,196.4,242.8,-20,-40,1.5,8,1
0.16,4,291,83.6,-50,20,0.9,5.5,1
0.16,5,120.9,114.6,5,-30,1,6,1
0.18,1,56,62,30,60,1,6,1
0.18,2,102,58,10,-10,1.2,7,1
0.18,3,196,242,-20,-40,1.5,8,1
0.18,4,290,84,-50,20,0.9,5.5,1
0.18,5,121,114,5,-30,1,6,1
0.2,1,56.6,63.2,30,60,1,6,1
0.2,2,102.2,57.8,10,-10,1.2,7,1
0.2,3,195.6,241.2,-20,-40,1.5,8,1
0.2,4,289,84.4,-50,20,0.9,5.5,1
0.2,5,121.1,113.4,5,-30,1,6,1
0.22,1,57.2,64.4,30,60,1,6,1
